Ref,Val,Package,PosX,PosY,Rot,Side
"D3","1N5819","D_SOD-123",35.026600,13.004800,180.000000,bottom
"D4","DB107S","Diode_Bridge_Diotec_SO-DIL-Slim",16.662400,14.376400,180.000000,bottom
"Q1","BSS138","SOT-23",48.971200,25.374600,270.000000,bottom
"Q2","BSS138","SOT-23",45.466000,25.374600,270.000000,bottom
"Q3","BSS138","SOT-23",41.960800,25.374600,270.000000,bottom
"Q4","BSS138","SOT-23",38.455600,25.374600,270.000000,bottom
"Q5","BSS138","SOT-23",34.950400,25.374600,270.000000,bottom
"Q6","BSS138","SOT-23",31.445200,25.374600,270.000000,bottom
"Q7","BSS138","SOT-23",27.940000,25.374600,270.000000,bottom
"Q8","BSS138","SOT-23",24.434800,25.374600,270.000000,bottom
"Q9","BSS138","SOT-23",20.929600,25.374600,270.000000,bottom
"Q10","BSS138","SOT-23",17.424400,25.374600,270.000000,bottom
"Q11","BSS138","SOT-23",13.919200,25.374600,270.000000,bottom
"R1","10k","R_0603_1608Metric",48.971200,27.813000,0.000000,bottom
"R2","10k","R_0603_1608Metric",48.971200,22.936200,180.000000,bottom
"R3","10k","R_0603_1608Metric",45.466000,27.813000,0.000000,bottom
"R4","10k","R_0603_1608Metric",45.466000,22.936200,180.000000,bottom
"R5","10k","R_0603_1608Metric",41.960800,27.813000,0.000000,bottom
"R6","10k","R_0603_1608Metric",41.960800,22.936200,180.000000,bottom
"R7","10k","R_0603_1608Metric",38.455600,27.813000,0.000000,bottom
"R8","10k","R_0603_1608Metric",38.455600,22.936200,180.000000,bottom
"R9","10k","R_0603_1608Metric",34.950400,27.813000,0.000000,bottom
"R10","10k","R_0603_1608Metric",34.950400,22.936200,180.000000,bottom
"R11","10k","R_0603_1608Metric",31.445200,27.813000,0.000000,bottom
"R12","10k","R_0603_1608Metric",31.445200,22.936200,180.000000,bottom
"R13","10k","R_0603_1608Metric",27.940000,27.813000,0.000000,bottom
"R14","10k","R_0603_1608Metric",27.940000,22.936200,180.000000,bottom
"R15","10k","R_0603_1608Metric",24.434800,27.813000,0.000000,bottom
"R16","10k","R_0603_1608Metric",24.434800,22.936200,180.000000,bottom
"R17","10k","R_0603_1608Metric",20.929600,27.813000,0.000000,bottom
"R18","10k","R_0603_1608Metric",20.929600,22.936200,180.000000,bottom
"R19","10k","R_0603_1608Metric",17.424400,27.813000,0.000000,bottom
"R20","10k","R_0603_1608Metric",17.424400,22.936200,180.000000,bottom
"R21","10k","R_0603_1608Metric",13.919200,27.813000,0.000000,bottom
"R22","10k","R_0603_1608Metric",13.919200,22.936200,180.000000,bottom
"R23","4k7","R_0603_1608Metric",7.391400,37.490400,90.000000,bottom
"R24","12k","R_0603_1608Metric",7.442200,41.935400,90.000000,bottom
"R25","10k","R_0603_1608Metric",48.564800,50.317400,270.000000,bottom
"R26","3k9","R_0603_1608Metric",7.467600,46.482000,90.000000,bottom
