Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","CP_6.3x11mm_hor",30.149800,14.249400,0.000000,top
"C2","100uF","CP_6.3x11mm_hor",41.783000,16.129000,90.000000,top
"D1","5V","LED_D3.0mm",5.207000,37.490400,180.000000,top
"D2","9V","LED_D3.0mm",5.232400,42.037000,180.000000,top
"D5","IO2","LED_D3.0mm",5.232400,46.583600,180.000000,top
"SW1","RESET-C64","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",51.104800,17.221200,270.000000,top
"SW2","Function","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS",51.079400,52.552600,270.000000,top
"XBrd1","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",18.528800,60.866600,90.000000,top
"XU1-1","Conn_01x15_Female","pin_socket_15",25.273000,7.543800,0.000000,top
"XU1-2","Conn_01x15_Female","pin_socket_15",25.247600,32.943800,0.000000,top
"XU2","HEADER_4x2","PinSocket_2x04_P2.54mm_Vertical",41.503600,39.624000,90.000000,top
